Location;Time;Happiness
LTU;2011;5.4
LTU;2012;5.8
LTU;2013;5.6
LTU;2014;6.1
LTU;2015;5.7
LTU;2016;5.9
LTU;2017;6.3
LUX;2009;7
LUX;2010;7.1
LUX;2011;7.1
LUX;2012;7
LUX;2013;7.1
LUX;2014;6.9
LUX;2015;6.7
LUX;2016;7
LUX;2017;7.1
LVA;2007;4.7
LVA;2008;5.1
LVA;2009;4.7
LVA;2011;5
LVA;2012;5.1
LVA;2013;5.1
LVA;2014;5.7
LVA;2015;5.9
LVA;2016;5.9
LVA;2017;6
MAR;2010;4.4
MAR;2011;5.1
MAR;2012;5
MAR;2013;5.1
MAR;2015;5.2
MAR;2016;5.4
MAR;2017;5.3
MDA;2007;4.8
MDA;2008;5.5
MDA;2009;5.6
MDA;2010;5.6
MDA;2011;5.8
MDA;2012;6
MDA;2013;5.8
MDA;2014;5.9
MDA;2015;6
MDA;2016;5.6
MDA;2017;5.3
MDG;2008;4.6
MDG;2011;4.4
MDG;2012;3.6
MDG;2013;3.8
MDG;2014;3.7
MDG;2015;3.6
MDG;2016;3.7
MDG;2017;4.1
MEX;2007;6.5
MEX;2008;6.8
MEX;2009;7
MEX;2010;6.8
MEX;2011;6.9
MEX;2012;7.3
MEX;2013;7.4
MEX;2014;6.7
MEX;2015;6.2
MEX;2016;6.8
MEX;2017;6.4
MKD;2007;4.5
MKD;2009;4.4
MKD;2010;4.2
MKD;2011;4.9
MKD;2012;4.6
MKD;2013;5.2
MKD;2014;5.2
MKD;2015;5
MKD;2016;5.3
MKD;2017;5.2
MLI;2008;4.1
MLI;2009;4
MLI;2010;3.8
MLI;2011;4.7
MLI;2012;4.3
MLI;2013;3.7
MLI;2014;4
MLI;2015;4.6
MLI;2016;4
MLI;2017;4.7
MLT;2009;6.3
MLT;2010;5.8
MLT;2011;6.2
MLT;2012;6
MLT;2013;6.4
MLT;2014;6.5
MLT;2015;6.6
MLT;2016;6.6
MLT;2017;6.7
MMR;2012;4.4
MMR;2013;4.2
MMR;2014;4.8
MMR;2015;4.2
MMR;2016;4.6
MMR;2017;4.2
MNE;2007;5.2
MNE;2009;4.8
MNE;2010;5.5
MNE;2011;5.2
MNE;2012;5.2
MNE;2013;5.1
MNE;2014;5.3
MNE;2015;5.1
MNE;2016;5.3
MNE;2017;5.6
MNG;2007;4.6
MNG;2008;4.5
MNG;2010;4.6
MNG;2011;5
MNG;2012;4.9
MNG;2013;4.9
MNG;2014;4.8
MNG;2015;5
MNG;2016;5.1
MNG;2017;5.3
MOZ;2007;4.8
MOZ;2008;4.7
MOZ;2011;5
MOZ;2015;4.5
MOZ;2017;4.3
MRT;2007;4.1
MRT;2008;4.2
MRT;2009;4.5
MRT;2010;4.8
MRT;2011;4.8
MRT;2012;4.7
MRT;2013;4.2
MRT;2014;4.5
MRT;2015;3.9
MRT;2016;4.5
MRT;2017;4.7
MUS;2011;5.5
MUS;2014;5.6
MUS;2016;5.6
MUS;2017;6.2
MWI;2007;4.9
MWI;2009;5.1
MWI;2011;3.9
MWI;2012;4.3
MWI;2013;4
MWI;2014;4.6
MWI;2015;3.9
MWI;2016;3.5
MWI;2017;3.4
MYS;2007;6.2
MYS;2008;5.8
MYS;2009;5.4
MYS;2010;5.6
MYS;2011;5.8
MYS;2012;5.9
MYS;2013;5.8
MYS;2014;6
MYS;2015;6.3
NAM;2007;4.9
NAM;2014;4.6
NAM;2017;4.4
NER;2007;4.3
NER;2008;4.2
NER;2009;4.3
NER;2010;4.1
NER;2011;4.6
NER;2012;3.8
NER;2013;3.7
NER;2014;4.2
NER;2015;3.7
NER;2016;4.2
NER;2017;4.6
NGA;2007;4.9
NGA;2008;4.9
NGA;2009;5
NGA;2010;4.8
NGA;2012;5.5
NGA;2013;4.8
NGA;2015;4.9
NGA;2016;5.2
NGA;2017;5.3
NIC;2007;4.9
NIC;2008;5.1
NIC;2009;5.4
NIC;2010;5.7
NIC;2011;5.4
NIC;2012;5.4
NIC;2013;5.8
NIC;2014;6.3
NIC;2015;5.9
NIC;2016;6
NIC;2017;6.5
NLD;2007;7.5
NLD;2008;7.6
NLD;2010;7.5
NLD;2011;7.6
NLD;2012;7.5
NLD;2013;7.4
NLD;2014;7.3
NLD;2015;7.3
NLD;2016;7.5
NLD;2017;7.5
NOR;2008;7.6
NOR;2012;7.7
NOR;2014;7.4
NOR;2015;7.6
NOR;2016;7.6
NOR;2017;7.6
NPL;2007;4.7
NPL;2008;4.4
NPL;2009;4.9
NPL;2010;4.3
NPL;2011;3.8
NPL;2012;4.2
NPL;2013;4.6
