alcohol,average_wages,cancer,employment_rate,happiness,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time,hours_worked,gdp,education
,,,,5.3,,,AZE,,,,,,2016.0,,,
,,,,5.2,,,AZE,,,,,,2017.0,,,
,,,,3.6,,,BDI,,,,,,2008.0,,,
,,,,3.8,,,BDI,,,,,,2009.0,,,
,,,,,,,BDI,,,,,,2010.0,,,
,,,,3.7,,,BDI,,,,,,2011.0,,,
,,,,,,,BDI,,,,,,2012.0,,,
,,,,,,,BDI,,,,,,2013.0,,,
,,,,2.9,,,BDI,,,,,,2014.0,,,
,,,,,,,BDI,,,,,,2015.0,,,
,,,,,,,BDI,,,,,,2016.0,,,
,,,,,,,BDI,,,,,,2017.0,,,
10.3,35.9,220.5,62,7.2,79.9,19.1,BEL,,1577,,10108.8,16.7,2007.0,1577.0,391797.4928,67.953423
10.3,35.9,220.5,62,7.2,79.9,19.1,BEL,,1577,,10108.8,16.7,2007.0,1577.0,36871.587882,67.953423
10.5,37.3,222,62.4,7.1,79.8,19.1,BEL,47.5,1570,20.5,10663.7,17.9,2008.0,1570.0,408408.7386,69.576183
10.5,37.3,222,62.4,7.1,79.8,19.1,BEL,47.5,1570,20.5,10663.7,17.9,2008.0,1570.0,38133.402295,69.576183
10.1,37.2,216.4,61.6,,80.1,19.4,BEL,,1548,,11244.1,17.9,2009.0,1548.0,410361.8861,70.572893
10.1,37.2,216.4,61.6,,80.1,19.4,BEL,,1548,,11244.1,17.9,2009.0,1548.0,38010.54892,70.572893
10.3,35.5,217.1,62,6.9,80.3,19.4,BEL,,1546,,11338.9,17.8,2010.0,1546.0,436389.5608,70.499512
10.3,35.5,217.1,62,6.9,80.3,19.4,BEL,,1546,,11338.9,17.8,2010.0,1546.0,40050.43693,70.499512
10.1,36.7,213.6,61.9,7.1,80.7,19.8,BEL,,1560,,11621,18.1,2011.0,1560.0,455705.2637,71.266706
10.1,36.7,213.6,61.9,7.1,80.7,19.8,BEL,,1560,,11621,18.1,2011.0,1560.0,41450.360532,71.266706
10.1,36.3,207,61.8,6.9,80.5,19.5,BEL,,1560,,11551.8,17.4,2012.0,1560.0,471332.4746,71.643629
10.1,36.3,207,61.8,6.9,80.5,19.5,BEL,,1560,,11551.8,17.4,2012.0,1560.0,42585.15311,71.643629
10.3,37.2,205,61.8,7.1,80.7,19.6,BEL,48.1,1558,18.9,11727.6,16.2,2013.0,1558.0,486673.7112,72.758352
10.3,37.2,205,61.8,7.1,80.7,19.6,BEL,48.1,1558,18.9,11727.6,16.2,2013.0,1558.0,43745.951563999995,72.758352
10.6,36.7,199.4,61.9,6.9,81.4,20.1,BEL,51,1545,,11915.6,16.1,2014.0,1545.0,499974.7211,73.55065
10.6,36.7,199.4,61.9,6.9,81.4,20.1,BEL,51,1545,,11915.6,16.1,2014.0,1545.0,44720.458061000005,73.55065
10.4,37.8,197.5,61.8,6.9,81.1,19.9,BEL,,1545,,11917.4,15.8,2015.0,1545.0,514017.2959,74.677097
10.4,37.8,197.5,61.8,6.9,81.1,19.9,BEL,,1545,,11917.4,15.8,2015.0,1545.0,45739.214797,74.677097
,37.6,193.9,62.3,6.9,81.5,20.1,BEL,,1545,,,15.9,2016.0,1545.0,535003.4891,75.094166
,37.6,193.9,62.3,6.9,81.5,20.1,BEL,,1545,,,15.9,2016.0,1545.0,47366.400094,75.094166
,36.5,,63.1,6.9,81.6,20.2,BEL,,1545,,,,2017.0,1545.0,562067.5562,76.797213
,36.5,,63.1,6.9,81.6,20.2,BEL,,1545,,,,2017.0,1545.0,49525.734095,76.797213
,,,,3.7,,,BEN,,,,,,2008.0,,,
,,,,,,,BEN,,,,,,2010.0,,,
,,,,3.9,,,BEN,,,,,,2011.0,,,
,,,,3.2,,,BEN,,,,,,2012.0,,,
,,,,3.5,,,BEN,,,,,,2013.0,,,
,,,,3.3,,,BEN,,,,,,2014.0,,,
,,,,3.6,,,BEN,,,,,,2015.0,,,
,,,,4,,,BEN,,,,,,2016.0,,,
,,,,4.9,,,BEN,,,,,,2017.0,,,
,,,,4,,,BFA,,,,,,2007.0,,,
,,,,3.8,,,BFA,,,,,,2008.0,,,
,,,,4,,,BFA,,,,,,2010.0,,,
,,,,4.8,,,BFA,,,,,,2011.0,,,
,,,,4,,,BFA,,,,,,2012.0,,,
,,,,3.3,,,BFA,,,,,,2013.0,,,
,,,,3.5,,,BFA,,,,,,2014.0,,,
,,,,4.4,,,BFA,,,,,,2015.0,,,
,,,,4.2,,,BFA,,,,,,2016.0,,,
,,,,4.6,,,BFA,,,,,,2017.0,,,
,,,,4.6,,,BGD,,,,,,2007.0,,,
,,,,5.1,,,BGD,,,,,,2008.0,,,
,,,,5.1,,,BGD,,,,,,2009.0,,,
,,,,4.9,,,BGD,,,,,,2010.0,,,
,,,,5,,,BGD,,,,,,2011.0,,,
,,,,4.7,,,BGD,,,,,,2012.0,,,
,,,,4.7,,,BGD,,,,,,2013.0,,,
,,,,4.6,,,BGD,,,,,,2014.0,,,
,,,,4.6,,,BGD,,,,,,2015.0,,,
,,,,4.6,,,BGD,,,,,,2016.0,,,
,,,,4.3,,,BGD,,,,,,2017.0,,,
,,,,3.8,,,BGR,,,,,,2007.0,,96587.2715,
,,,,3.8,,,BGR,,,,,,2007.0,,12609.692869,
,,,,,,,BGR,,,,,,2008.0,,107360.16699999999,
,,,,,,,BGR,,,,,,2008.0,,14082.98625,
,,,,,,,BGR,,,,,,2009.0,,105310.2248,
