alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
,,,,,,5.6,100,,,BTN,,,,,,2013
,,,,,,4.9,100,,,BTN,,,,,,2014
,,,,,,5.1,100,,,BTN,,,,,,2015
,,,,,,,100,,,BTN,,,,,,2016
,,,,,,,100,,,BTN,,,,,,2017
,,,,,,5.5,,,,BWA,,,,,,2008
,,,,,,3.6,100,,,BWA,,,,,,2010
,,,,,,3.5,100,,,BWA,,,,,,2011
,,,,,,4.8,100,,,BWA,,,,,,2012
,,,,,,4.1,100,,,BWA,,,,,,2013
,,,,,,4,100,,,BWA,,,,,,2014
,,,,,,3.8,100,,,BWA,,,,,,2015
,,,,,,3.5,100,,,BWA,,,,,,2016
,,,,,,3.5,100,,,BWA,,,,,,2017
,,,,,,4.2,,,,CAF,,,,,,2007
,,,,,,3.6,100,,,CAF,,,,,,2010
,,,,,,3.7,100,,,CAF,,,,,,2011
,,,,,,,100,,,CAF,,,,,,2012
,,,,,,,100,,,CAF,,,,,,2013
,,,,,,,100,,,CAF,,,,,,2014
,,,,,,,100,,,CAF,,,,,,2015
,,,,,,2.7,100,,,CAF,,,,,,2016
,,,,,,3.5,100,,,CAF,,,,,,2017
8.3,38.3,221.8,43968.6,73.5,39544.7,7.5,,80.4,19.45,CAN,49.1,1744,18.2,6608.4,10.6,2007
8.4,38.3,218.1,44810.3,73.5,40378,7.5,,80.6,19.6,CAN,54.75,1741,17.5,6569.5,10.7,2008
8.4,38.2,214.3,45309,71.4,38896,7.5,,80.8,19.75,CAN,50,1712,16.2,7081.9,11.1,2009
8.4,38,210.6,45502.6,71.5,40106.2,7.7,13.7,81.1,19.95,CAN,54.6,1715,16.3,7028.2,11.1,2010
8.2,37.6,208.5,46203.4,71.8,41662.5,7.4,18.3,81.3,20.1,CAN,50.5,1713,15.7,6943.9,10.8,2011
8.3,36.7,205.6,47275.5,72,42246.7,7.4,8.8,81.5,20.3,CAN,50.9,1722,16.1,7009.8,10.8,2012
8.2,36.6,203,48191.6,72.4,44211,7.6,7.1,81.7,20.45,CAN,56.2,1716,14.9,6993.5,11.1,2013
8,36.4,208.8,48717.5,72.3,45627.6,7.3,2.6,81.8,20.55,CAN,52.5,1710,14,7047.4,11.5,2014
8,35.2,196.8,48979.3,72.5,44671.4,7.4,0.9,81.9,20.6,CAN,58.25,1712,13.1,7456.2,11.8,2015
8.1,34.3,,47793.4,72.6,45109.5,7.2,0,82,20.7,CAN,53.1,1706,12.5,,,2016
8.1,34.4,,48247.1,73.4,46810.3,7.4,0,82,20.7,CAN,56.45,1695,12,,,2017
10.4,54.6,190.6,60304.4,78.6,49500.2,,,82,20.4,CHE,37.3,1668.9,20.4,7498.3,16.9,2007
10.2,53.2,185.7,60629.7,79.5,52362.6,,,82.2,20.6,CHE,,1659.5,,7425.6,16,2008
