alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
12.4,54.2,201.9,49835.1,71.4,46477.7,7.4,98,81,19.7,AUT,-1,1540,-1,11723.2,13.7,2012
12,53.2,197.1,49896.5,71.4,47936.7,7.5,96.7,81.2,19.9,AUT,-1,1525,-1,11829.5,13.6,2013
12.4,54,197.2,50082.8,71.1,48813.5,6.9,95.1,81.6,20.1,AUT,46.7,1516,24.3,11930,13.9,2014
11.6,54.1,192.1,50373.8,71.1,49955.5,7.1,93,81.3,19.7,AUT,-1,1500,-1,11926.1,12.9,2015
11.8,53.1,187.3,50906,71.5,51790.9,7,87,81.7,20.1,AUT,-1,1512,-1,-1,12.2,2016
-1,52.6,184.7,50851.4,72.2,53952.3,7.3,87,81.7,20,AUT,-1,1511,-1,-1,12.4,2017
-1,-1,-1,-1,-1,-1,4.6,-1,-1,-1,AZE,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,4.8,-1,-1,-1,AZE,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,4.6,-1,-1,-1,AZE,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,4.2,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,4.7,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,4.9,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,5.5,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,5.3,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,5.1,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,5.3,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,5.2,99.9,-1,-1,AZE,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,3.6,-1,-1,-1,BDI,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,3.8,-1,-1,-1,BDI,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BDI,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,3.7,100,-1,-1,BDI,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BDI,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BDI,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,2.9,100,-1,-1,BDI,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BDI,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BDI,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BDI,-1,-1,-1,-1,-1,2017
10.3,35.9,220.5,50575.4,62,36871.6,7.2,-1,79.9,19.1,BEL,-1,1577,-1,10108.8,16.7,2007
10.5,37.3,222,50725,62.4,38133.4,7.1,-1,79.8,19.1,BEL,47.5,1570,20.5,10663.7,17.9,2008
10.1,37.2,216.4,51159.3,61.6,38010.5,-1,-1,80.1,19.4,BEL,-1,1548,-1,11244.1,17.9,2009
10.3,35.5,217.1,50872.5,62,40050.4,6.9,99.6,80.3,19.4,BEL,-1,1546,-1,11338.9,17.8,2010
10.1,36.7,213.6,51204.9,61.9,41450.4,7.1,99.5,80.7,19.8,BEL,-1,1560,-1,11621,18.1,2011
10.1,36.3,207,51550.6,61.8,42585.2,6.9,98.7,80.5,19.5,BEL,-1,1560,-1,11551.8,17.4,2012
10.3,37.2,205,52221.6,61.8,43746,7.1,97.8,80.7,19.6,BEL,48.1,1558,18.9,11727.6,16.2,2013
10.6,36.7,199.4,52514.3,61.9,44720.5,6.9,95.8,81.4,20.1,BEL,51,1545,-1,11915.6,16.1,2014
10.4,37.8,197.5,52120.1,61.8,45739.2,6.9,96.3,81.1,19.9,BEL,-1,1545,-1,11917.4,15.8,2015
-1,37.6,193.9,51951.7,62.3,47366.4,6.9,93.3,81.5,20.1,BEL,-1,1545,-1,-1,15.9,2016
-1,36.5,-1,51736.1,63.1,49525.7,6.9,93.5,81.6,20.2,BEL,-1,1545,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,3.7,-1,-1,-1,BEN,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BEN,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,3.9,100,-1,-1,BEN,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,3.2,100,-1,-1,BEN,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,3.5,100,-1,-1,BEN,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,3.3,100,-1,-1,BEN,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,3.6,100,-1,-1,BEN,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,4,100,-1,-1,BEN,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,4.9,100,-1,-1,BEN,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,4,-1,-1,-1,BFA,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,3.8,-1,-1,-1,BFA,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,4,100,-1,-1,BFA,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,4.8,100,-1,-1,BFA,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,4,100,-1,-1,BFA,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,3.3,100,-1,-1,BFA,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,3.5,100,-1,-1,BFA,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,4.4,100,-1,-1,BFA,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,4.2,100,-1,-1,BFA,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,4.6,100,-1,-1,BFA,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,4.6,-1,-1,-1,BGD,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,5.1,-1,-1,-1,BGD,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,5.1,-1,-1,-1,BGD,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,4.9,100,-1,-1,BGD,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,5,100,-1,-1,BGD,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,4.7,100,-1,-1,BGD,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,4.7,100,-1,-1,BGD,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,4.6,100,-1,-1,BGD,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,4.6,100,-1,-1,BGD,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,4.6,100,-1,-1,BGD,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,4.3,100,-1,-1,BGD,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,12609.7,3.8,-1,-1,-1,BGR,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,14083,-1,-1,-1,-1,BGR,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,13883.8,-1,-1,-1,-1,BGR,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,14659.1,3.9,99.9,-1,-1,BGR,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,15676.1,3.9,99.9,-1,-1,BGR,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,16208.3,4.2,99.9,-1,-1,BGR,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,16570.9,4,99.9,-1,-1,BGR,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,17534.3,4.4,99.9,-1,-1,BGR,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,18186.5,4.9,99.9,-1,-1,BGR,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,19500.4,4.8,99.8,-1,-1,BGR,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,20948.2,5.1,99.8,-1,-1,BGR,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,5.7,-1,-1,-1,BHR,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,5.9,100,-1,-1,BHR,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,4.8,100,-1,-1,BHR,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,5,100,-1,-1,BHR,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,6.7,100,-1,-1,BHR,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,6.2,100,-1,-1,BHR,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,6,100,-1,-1,BHR,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,6.2,100,-1,-1,BHR,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,6.2,100,-1,-1,BHR,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,4.9,-1,-1,-1,BIH,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,5,-1,-1,-1,BIH,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,4.7,100,-1,-1,BIH,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,5,100,-1,-1,BIH,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,4.8,100,-1,-1,BIH,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,5.1,100,-1,-1,BIH,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,5.2,100,-1,-1,BIH,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,5.1,100,-1,-1,BIH,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,5.2,100,-1,-1,BIH,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,5.1,100,-1,-1,BIH,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,5.6,-1,-1,-1,BLR,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,5.5,-1,-1,-1,BLR,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,5.6,-1,-1,-1,BLR,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,5.5,100,-1,-1,BLR,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,5.2,100,-1,-1,BLR,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,5.7,100,-1,-1,BLR,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,5.9,100,-1,-1,BLR,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,5.8,100,-1,-1,BLR,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,5.7,100,-1,-1,BLR,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,5.2,100,-1,-1,BLR,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,5.6,99.9,-1,-1,BLR,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,6.5,-1,-1,-1,BLZ,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,6,-1,-1,-1,BLZ,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,5.6,-1,-1,-1,BOL,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,5.3,-1,-1,-1,BOL,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,6.1,-1,-1,-1,BOL,-1,-1,-1,-1,-1,2009
-1,-1,-1,-1,-1,-1,5.8,100,-1,-1,BOL,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,5.8,100,-1,-1,BOL,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,6,100,-1,-1,BOL,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,5.8,100,-1,-1,BOL,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,5.9,100,-1,-1,BOL,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,5.8,100,-1,-1,BOL,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,5.8,100,-1,-1,BOL,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,5.7,100,-1,-1,BOL,-1,-1,-1,-1,-1,2017
7.1,27.2,161.1,-1,-1,12632.6,6.3,-1,72.8,17.5,BRA,-1,-1,15.6,-1,5.4,2007
7.1,28,161.4,-1,-1,13396.4,6.7,-1,73.2,17.6,BRA,-1,-1,14.8,-1,5.5,2008
7.2,29.8,160.7,-1,-1,13343.5,7,-1,73.5,17.7,BRA,-1,-1,14.3,-1,5.5,2009
7.4,-1,162.3,-1,-1,14382.8,6.8,91.4,73.9,17.8,BRA,-1,-1,14.1,-1,5.4,2010
7.4,31.7,161.4,-1,-1,15131.7,7,92.3,74.2,17.5,BRA,-1,-1,13.4,-1,5.6,2011
7.3,32,162,-1,-1,15572.8,6.7,87.5,74.5,17.9,BRA,-1,-1,12.1,-1,5.8,2012
7.1,32.7,161.2,-1,-1,16163,7.1,85.9,74.8,17.9,BRA,-1,-1,11.3,-1,5.8,2013
7.2,33,160.3,-1,-1,16396.2,7,77.9,75,18.1,BRA,-1,-1,8.7,-1,5.7,2014
7,34.1,161.2,-1,-1,15847.6,6.5,75.5,75.3,18.2,BRA,-1,-1,7.2,-1,6,2015
6.3,33.6,-1,-1,-1,15385.8,6.4,68.1,75.5,-1,BRA,-1,-1,10.2,-1,-1,2016
-1,34.1,-1,-1,-1,15651.4,6.3,68.3,75.7,-1,BRA,-1,-1,10.1,-1,-1,2017
-1,-1,-1,-1,-1,-1,-1,1.3,-1,-1,BRN,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,-1,1.3,-1,-1,BRN,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,-1,1.3,-1,-1,BRN,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,BRN,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,BRN,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,BRN,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,BRN,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,BRN,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BTN,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BTN,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BTN,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,5.6,100,-1,-1,BTN,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,4.9,100,-1,-1,BTN,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,5.1,100,-1,-1,BTN,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BTN,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,BTN,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,5.5,-1,-1,-1,BWA,-1,-1,-1,-1,-1,2008
-1,-1,-1,-1,-1,-1,3.6,100,-1,-1,BWA,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,3.5,100,-1,-1,BWA,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,4.8,100,-1,-1,BWA,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,4.1,100,-1,-1,BWA,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,4,100,-1,-1,BWA,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,3.8,100,-1,-1,BWA,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,3.5,100,-1,-1,BWA,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,3.5,100,-1,-1,BWA,-1,-1,-1,-1,-1,2017
-1,-1,-1,-1,-1,-1,4.2,-1,-1,-1,CAF,-1,-1,-1,-1,-1,2007
-1,-1,-1,-1,-1,-1,3.6,100,-1,-1,CAF,-1,-1,-1,-1,-1,2010
-1,-1,-1,-1,-1,-1,3.7,100,-1,-1,CAF,-1,-1,-1,-1,-1,2011
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,CAF,-1,-1,-1,-1,-1,2012
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,CAF,-1,-1,-1,-1,-1,2013
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,CAF,-1,-1,-1,-1,-1,2014
-1,-1,-1,-1,-1,-1,-1,100,-1,-1,CAF,-1,-1,-1,-1,-1,2015
-1,-1,-1,-1,-1,-1,2.7,100,-1,-1,CAF,-1,-1,-1,-1,-1,2016
-1,-1,-1,-1,-1,-1,3.5,100,-1,-1,CAF,-1,-1,-1,-1,-1,2017
8.3,38.3,221.8,43968.6,73.5,39544.7,7.5,-1,80.4,19.45,CAN,49.1,1744,18.2,6608.4,10.6,2007
8.4,38.3,218.1,44810.3,73.5,40378,7.5,-1,80.6,19.6,CAN,54.75,1741,17.5,6569.5,10.7,2008
8.4,38.2,214.3,45309,71.4,38896,7.5,-1,80.8,19.75,CAN,50,1712,16.2,7081.9,11.1,2009
8.4,38,210.6,45502.6,71.5,40106.2,7.7,13.7,81.1,19.95,CAN,54.6,1715,16.3,7028.2,11.1,2010
8.2,37.6,208.5,46203.4,71.8,41662.5,7.4,18.3,81.3,20.1,CAN,50.5,1713,15.7,6943.9,10.8,2011
8.3,36.7,205.6,47275.5,72,42246.7,7.4,8.8,81.5,20.3,CAN,50.9,1722,16.1,7009.8,10.8,2012
8.2,36.6,203,48191.6,72.4,44211,7.6,7.1,81.7,20.45,CAN,56.2,1716,14.9,6993.5,11.1,2013
8,36.4,208.8,48717.5,72.3,45627.6,7.3,2.6,81.8,20.55,CAN,52.5,1710,14,7047.4,11.5,2014
8,35.2,196.8,48979.3,72.5,44671.4,7.4,0.9,81.9,20.6,CAN,58.25,1712,13.1,7456.2,11.8,2015
