LOCATION,TIME,Average Wages,Hours worked,Education,Pollution,GDP,Happiness,Social spending,Employment rate,Alcohol,Smokers,Cancer,Suicide,LifeAtOld,LifeAtBirth,Obese
BEN,2012,,100.0,,,,3.2,,,,,,,,,
BEN,2013,,100.0,,,,3.5,,,,,,,,,
BEN,2014,,100.0,,,,3.3,,,,,,,,,
BEN,2015,,100.0,,,,3.6,,,,,,,,,
BEN,2016,,100.0,,,,4.0,,,,,,,,,
BEN,2017,,100.0,,,,4.9,,,,,,,,,
BFA,2007,,,,,,4.0,,,,,,,,,
BFA,2008,,,,,,3.8,,,,,,,,,
BFA,2010,,100.0,,,,4.0,,,,,,,,,
BFA,2011,,100.0,,,,4.8,,,,,,,,,
BFA,2012,,100.0,,,,4.0,,,,,,,,,
BFA,2013,,100.0,,,,3.3,,,,,,,,,
BFA,2014,,100.0,,,,3.5,,,,,,,,,
BFA,2015,,100.0,,,,4.4,,,,,,,,,
BFA,2016,,100.0,,,,4.2,,,,,,,,,
BFA,2017,,100.0,,,,4.6,,,,,,,,,
BGD,2007,,,,,,4.6,,,,,,,,,
BGD,2008,,,,,,5.1,,,,,,,,,
BGD,2009,,,,,,5.1,,,,,,,,,
BGD,2010,,100.0,,,,4.9,,,,,,,,,
BGD,2011,,100.0,,,,5.0,,,,,,,,,
BGD,2012,,100.0,,,,4.7,,,,,,,,,
BGD,2013,,100.0,,,,4.7,,,,,,,,,
BGD,2014,,100.0,,,,4.6,,,,,,,,,
BGD,2015,,100.0,,,,4.6,,,,,,,,,
BGD,2016,,100.0,,,,4.6,,,,,,,,,
BGD,2017,,100.0,,,,4.3,,,,,,,,,
BGR,2007,,,,,12609.7,3.8,,,,,,,,,
BGR,2008,,,,,14083.0,,,,,,,,,,
BGR,2009,,,,,13883.8,,,,,,,,,,
BGR,2010,,99.9,,,14659.1,3.9,,,,,,,,,
BGR,2011,,99.9,,,15676.1,3.9,,,,,,,,,
BGR,2012,,99.9,,,16208.3,4.2,,,,,,,,,
BGR,2013,,99.9,,,16570.9,4.0,,,,,,,,,
BGR,2014,,99.9,,,17534.3,4.4,,,,,,,,,
BGR,2015,,99.9,,,18186.5,4.9,,,,,,,,,
BGR,2016,,99.8,,,19500.4,4.8,,,,,,,,,
BGR,2017,,99.8,,,20948.2,5.1,,,,,,,,,
BHR,2009,,,,,,5.7,,,,,,,,,
BHR,2010,,100.0,,,,5.9,,,,,,,,,
BHR,2011,,100.0,,,,4.8,,,,,,,,,
BHR,2012,,100.0,,,,5.0,,,,,,,,,
BHR,2013,,100.0,,,,6.7,,,,,,,,,
BHR,2014,,100.0,,,,6.2,,,,,,,,,
BHR,2015,,100.0,,,,6.0,,,,,,,,,
BHR,2016,,100.0,,,,6.2,,,,,,,,,
BHR,2017,,100.0,,,,6.2,,,,,,,,,
BIH,2007,,,,,,4.9,,,,,,,,,
BIH,2009,,,,,,5.0,,,,,,,,,
BIH,2010,,100.0,,,,4.7,,,,,,,,,
BIH,2011,,100.0,,,,5.0,,,,,,,,,
BIH,2012,,100.0,,,,4.8,,,,,,,,,
BIH,2013,,100.0,,,,5.1,,,,,,,,,
BIH,2014,,100.0,,,,5.2,,,,,,,,,
BIH,2015,,100.0,,,,5.1,,,,,,,,,
BIH,2016,,100.0,,,,5.2,,,,,,,,,
BIH,2017,,100.0,,,,5.1,,,,,,,,,
BLR,2007,,,,,,5.6,,,,,,,,,
BLR,2008,,,,,,5.5,,,,,,,,,
BLR,2009,,,,,,5.6,,,,,,,,,
BLR,2010,,100.0,,,,5.5,,,,,,,,,
BLR,2011,,100.0,,,,5.2,,,,,,,,,
BLR,2012,,100.0,,,,5.7,,,,,,,,,
BLR,2013,,100.0,,,,5.9,,,,,,,,,
BLR,2014,,100.0,,,,5.8,,,,,,,,,
BLR,2015,,100.0,,,,5.7,,,,,,,,,
BLR,2016,,100.0,,,,5.2,,,,,,,,,
BLR,2017,,99.9,,,,5.6,,,,,,,,,
BLZ,2007,,,,,,6.5,,,,,,,,,
BLZ,2014,,,,,,6.0,,,,,,,,,
BOL,2007,,,,,,5.6,,,,,,,,,
BOL,2008,,,,,,5.3,,,,,,,,,
BOL,2009,,,,,,6.1,,,,,,,,,
BOL,2010,,100.0,,,,5.8,,,,,,,,,
BOL,2011,,100.0,,,,5.8,,,,,,,,,
BOL,2012,,100.0,,,,6.0,,,,,,,,,
BOL,2013,,100.0,,,,5.8,,,,,,,,,
BOL,2014,,100.0,,,,5.9,,,,,,,,,
BOL,2015,,100.0,,,,5.8,,,,,,,,,
BOL,2016,,100.0,,,,5.8,,,,,,,,,
BOL,2017,,100.0,,,,5.7,,,,,,,,,
BRA,2007,27.2,,,,12632.6,6.3,,,7.1,15.6,161.1,5.4,17.5,72.8,
BRA,2008,28.0,,,,13396.4,6.7,,,7.1,14.8,161.4,5.5,17.6,73.2,
